frame,bass,low_mid,mid,high_mid,high,beat,energy
87,0.067376,0.049286,0.059119,0.01118,0.001187,0.0,0.071353
88,0.066422,0.039847,0.058724,0.019051,0.00055,0.0,0.069713
89,0.072107,0.028959,0.071023,0.025601,0.000816,0.0,0.074722
90,0.077996,0.020778,0.066351,0.010056,0.001713,0.0,0.079866
91,0.080712,0.026049,0.05084,0.069829,0.000929,0.0,0.082848
92,0.077867,0.040565,0.046636,0.022115,0.000615,0.0,0.080965
93,0.068702,0.035952,0.063919,0.007947,0.000456,0.0,0.071736
94,0.083421,0.051846,0.067016,0.008905,0.000368,0.0,0.08757
95,0.08687,0.041575,0.063957,0.012911,0.000373,0.0,0.090193
96,0.075022,0.045503,0.088998,0.014301,0.000663,0.0,0.07907
97,0.075697,0.039891,0.075461,0.008179,0.000919,0.0,0.079128
98,0.072743,0.041711,0.069127,0.020553,0.001018,0.0,0.076268
99,0.083921,0.079382,0.062439,0.009849,0.000937,0.0,0.090055
100,0.076745,0.087047,0.06122,0.016994,0.002427,0.0,0.0835
101,0.071886,0.085614,0.046064,0.011767,0.001566,0.0,0.078357
102,0.078136,0.098191,0.037765,0.016852,0.001116,0.0,0.085391
103,0.05713,0.094382,0.058982,0.023908,0.00075,0.0,0.064563
104,0.070015,0.102605,0.028859,0.00471,0.001293,0.0,0.077519
105,0.08054,0.124962,0.028459,0.021806,0.000891,0.0,0.089652
106,0.064759,0.090109,0.04379,0.011839,0.000806,0.0,0.071588
107,0.07339,0.049951,0.031566,0.006778,0.000796,0.0,0.07699
108,0.061919,0.040267,0.034037,0.019514,0.001146,0.0,0.06494
109,0.06493,0.054476,0.052165,0.021086,0.000616,0.0,0.069235
110,0.066918,0.046725,0.067375,0.007029,0.00068,0.0,0.070813
111,0.064737,0.06262,0.054716,0.015854,0.000643,0.0,0.069675
112,0.062092,0.04523,0.078132,0.01577,0.000591,0.0,0.066073
113,0.065601,0.048957,0.083205,0.003791,0.000761,0.0,0.069881
114,0.060753,0.04294,0.047485,0.01674,0.000476,0.0,0.064161
115,0.053012,0.057864,0.04848,0.006986,0.000711,0.0,0.057585
116,0.054849,0.052956,0.066795,0.008113,0.000361,0.0,0.059294
117,0.047646,0.043941,0.088985,0.008971,0.000697,0.0,0.051777
118,0.044639,0.042376,0.048157,0.010711,0.000381,0.0,0.048126
119,0.058812,0.037939,0.057443,0.01088,0.000813,0.0,0.061987
120,0.051343,0.040759,0.055294,0.005794,0.000702,0.0,0.054747
